state,year,ncode,lcode,datum,date,latest_year_flag,ncode_description
Utah,2006,1.1,ce-vt,0.367,1/1/2006,0,Voter turnout
Utah,2008,1.1,ce-vt,0.531,1/1/2008,0,Voter turnout
Utah,2010,1.1,ce-vt,0.386,1/1/2010,0,Voter turnout
Utah,2012,1.1,ce-vt,0.57,1/1/2012,0,Voter turnout
Utah,2014,1.1,ce-vt,0.365,1/1/2014,0,Voter turnout
Utah,2016,1.1,ce-vt,0.626826,1/1/2016,0,Voter turnout
Utah,2018,1.1,ce-vt,0.576,1/1/2018,0,Voter turnout
Utah,2020,1.1,ce-vt,0.636,1/1/2020,1,Voter turnout
Utah,2010,1.2,cv-pm,0.134221311,1/1/2010,0,Share of citizens reporting attending public meeting
Utah,2011,1.2,cv-pm,0.137254902,1/1/2011,0,Share of citizens reporting attending public meeting
Utah,2012,1.2,cv-pm,0.192634561,1/1/2012,0,Share of citizens reporting attending public meeting
Utah,2013,1.2,cv-pm,0.158301158,1/1/2013,0,Share of citizens reporting attending public meeting
Utah,2014,1.2,cv-pm,0.153982301,1/1/2014,0,Share of citizens reporting attending public meeting
Utah,2015,1.2,cv-pm,0.110813226,1/1/2015,0,Share of citizens reporting attending public meeting
Utah,2017,1.2,cv-pm,0.159502262,1/1/2017,0,Share of citizens reporting attending public meeting
Utah,2019,1.2,cv-pm,0.17612978,1/1/2019,1,Share of citizens reporting attending public meeting
Utah,2009,1.3,ce-ao,2.717170794,1/1/2009,0,"Number of advocacy organizations per 100,000 people"
Utah,2010,1.3,ce-ao,2.822114524,1/1/2010,0,"Number of advocacy organizations per 100,000 people"
Utah,2011,1.3,ce-ao,2.484717214,1/1/2011,0,"Number of advocacy organizations per 100,000 people"
Utah,2012,1.3,ce-ao,2.101364942,1/1/2012,0,"Number of advocacy organizations per 100,000 people"
Utah,2013,1.3,ce-ao,2.447539912,1/1/2013,0,"Number of advocacy organizations per 100,000 people"
Utah,2014,1.3,ce-ao,2.140744068,1/1/2014,0,"Number of advocacy organizations per 100,000 people"
Utah,2015,1.3,ce-ao,2.136239331,1/1/2015,0,"Number of advocacy organizations per 100,000 people"
Utah,2016,1.3,ce-ao,2.490809405,1/1/2016,0,"Number of advocacy organizations per 100,000 people"
Utah,2017,1.3,ce-ao,2.643598156,1/1/2017,0,"Number of advocacy organizations per 100,000 people"
Utah,2018,1.3,ce-ao,2.530760604,1/1/2018,0,"Number of advocacy organizations per 100,000 people"
Utah,2019,1.3,ce-ao,2.588929736,1/1/2019,0,"Number of advocacy organizations per 100,000 people"
Utah,2020,1.3,ce-ao,2.615481992,1/1/2020,1,"Number of advocacy organizations per 100,000 people"
Utah,2008,2.1,st-fc,29.28995516,1/1/2008,0,Fraud convictions per capita
Utah,2009,2.1,st-fc,35.61696851,1/1/2009,0,Fraud convictions per capita
Utah,2010,2.1,st-fc,24.24124014,1/1/2010,0,Fraud convictions per capita
Utah,2011,2.1,st-fc,26.97692976,1/1/2011,0,Fraud convictions per capita
Utah,2012,2.1,st-fc,15.41000957,1/1/2012,0,Fraud convictions per capita
Utah,2013,2.1,st-fc,21.02815981,1/1/2013,0,Fraud convictions per capita
Utah,2014,2.1,st-fc,19.02883616,1/1/2014,0,Fraud convictions per capita
Utah,2015,2.1,st-fc,20.36103112,1/1/2015,0,Fraud convictions per capita
Utah,2016,2.1,st-fc,16.38690398,1/1/2016,0,Fraud convictions per capita
Utah,2017,2.1,st-fc,17.40906103,1/1/2017,0,Fraud convictions per capita
Utah,2018,2.1,st-fc,19.29704961,1/1/2018,0,Fraud convictions per capita
Utah,2019,2.1,st-fc,15.59596227,1/1/2019,0,Fraud convictions per capita
Utah,2020,2.1,st-fc,11.07733549,1/1/2020,1,Fraud convictions per capita
Utah,2008,2.2,st-fc trust,3.755122456,1/1/2008,0,Convictions with breach of trust penalties per capita
