State,Year,Column1,Metric,Data,Datum,Raw Data,Adjusted Data,Bookmark,Mountain States,Metric Name
Alabama,2013,1.3,ce-ao,1.909101982,0.281334515,-0.2,1.909101982,,,"Number of advocacy organizations per 100,000 people"
Alabama,2017,1.3,ce-ao,1.912499398,0.292650589,-0.2,1.912499398,,,"Number of advocacy organizations per 100,000 people"
Alabama,2021,1.3,ce-ao,1.894370132,0.232265833,-0.2,1.894370132,,,"Number of advocacy organizations per 100,000 people"
Alabama,2025,1.3,ce-ao,1.927903799,0.343959398,-0.19,1.927903799,,,"Number of advocacy organizations per 100,000 people"
Alaska,2013,1,Civic Engagement,11.87765753,,0.662872054,11.87765753,,,
Alabama,2013,1.1,ce-vt,2.144965139,0.619,-0.1,2.144965139,2013 Data,,Voter turnout
Alabama,2017,1.1,ce-vt,0.071147223,0.57383,-0.97,0.071147223,2017 Data,,Voter turnout
Alabama,2021,1.1,ce-vt,1.502205546,0.605,-0.37,1.502205546,2021 Data,,Voter turnout
Arizona,2013,1,Civic Engagement,2.517604211,,-0.647535411,2.517604211,,1,
Alabama,2025,1.1,ce-vt,0.781396574,0.5893,-0.67,0.781396574,2021 Data,,Voter turnout
Alabama,2013,1,Civic Engagement,4.47101176,,-0.374058354,4.47101176,2013 Index,,
Alabama,2017,1,Civic Engagement,2.878913976,,-0.596952043,2.878913976,2017 Index,,
Arkansas,2013,1,Civic Engagement,-0.073729245,,-1.010322094,-0.073729245,,,
Alabama,2021,1,Civic Engagement,5.335981008,,-0.252962659,5.335981008,2021 Index,,
Alabama,2025,1,Civic Engagement,2.489102698,,-0.651525622,2.489102698,2025 Index,,
Alabama,2013,3.-,cl-cdd,1.064473535,0.247531948,0.19,1.064473535,,,
California,2013,1,Civic Engagement,3.641562868,,-0.490181198,3.641562868,,,
Alaska,2013,1.1,ce-vt,0.538066156,0.584,-0.77,0.538066156,,,Voter turnout
Alaska,2013,1.2,cv-pm,8.866325479,0.182384342,2.72,8.866325479,,,Share of citizens reporting attending public meeting
Alaska,2013,1.3,ce-ao,2.473265894,2.160445392,0.04,2.473265894,,,"Number of advocacy organizations per 100,000 people"
Colorado,2013,1,Civic Engagement,13.56228709,,0.898720192,13.56228709,,1,
Alaska,2017,1.1,ce-vt,1.88386701,0.613313,-0.21,1.88386701,,,Voter turnout
Alaska,2017,1.2,cv-pm,6.374662898,0.149330587,1.68,6.374662898,,,Share of citizens reporting attending public meeting
Alaska,2017,1.3,ce-ao,2.704824467,2.931718109,0.14,2.704824467,,,"Number of advocacy organizations per 100,000 people"
Connecticut,2013,1,Civic Engagement,7.304619178,,0.022646685,7.304619178,,,
Alaska,2021,1.1,ce-vt,3.017281729,0.638,0.27,3.017281729,,,Voter turnout
Alaska,2021,1.2,cv-pm,8.238112726,0.174050633,2.46,8.238112726,,,Share of citizens reporting attending public meeting
Alaska,2021,1.3,ce-ao,2.552793228,2.425334153,0.07,2.552793228,,,"Number of advocacy organizations per 100,000 people"
Delaware,2013,1,Civic Engagement,12.52491288,,0.753487803,12.52491288,,,
Alaska,2025,1.1,ce-vt,5.72146316,0.6969,1.4,5.72146316,,,Voter turnout
Alaska,2025,1.2,cv-pm,4.794433492,0.12836767,1.01,4.794433492,,,Share of citizens reporting attending public meeting
Alaska,2025,1.3,ce-ao,2.521918467,2.322496841,0.06,2.521918467,,,"Number of advocacy organizations per 100,000 people"
District of Columbia,2013,1,Civic Engagement,#VALUE!,,#VALUE!,#VALUE!,,,
Arizona,2013,1.1,ce-vt,-0.609718831,0.559,-1.26,-0.609718831,,1,Voter turnout
Arizona,2013,1.2,cv-pm,1.110241562,0.079494128,-0.53,1.110241562,,1,Share of citizens reporting attending public meeting
Arizona,2013,1.3,ce-ao,2.01708148,0.640991425,-0.15,2.01708148,,1,"Number of advocacy organizations per 100,000 people"
Florida,2013,1,Civic Engagement,4.260341029,,-0.403552256,4.260341029,,,
Arizona,2017,1.1,ce-vt,1.455008627,0.603972,-0.39,1.455008627,,1,Voter turnout
Arizona,2017,1.2,cv-pm,-0.784085596,0.054364472,-1.33,-0.784085596,,1,Share of citizens reporting attending public meeting
Arizona,2017,1.3,ce-ao,2.121061783,0.987327861,-0.11,2.121061783,,1,"Number of advocacy organizations per 100,000 people"
Georgia,2013,1,Civic Engagement,5.456829678,,-0.236043845,5.456829678,,,
Arizona,2021,1.1,ce-vt,6.736105089,0.719,1.83,6.736105089,,1,Voter turnout
Arizona,2021,1.2,cv-pm,2.070146432,0.092227979,-0.13,2.070146432,,1,Share of citizens reporting attending public meeting
Arizona,2021,1.3,ce-ao,2.233210464,1.36087144,-0.06,2.233210464,,1,"Number of advocacy organizations per 100,000 people"
Hawaii,2013,1,Civic Engagement,-0.07287267,,-1.010202174,-0.07287267,,,
Arizona,2025,1.1,ce-vt,2.92545893,0.636,0.23,2.92545893,,1,Voter turnout
Arizona,2025,1.2,cv-pm,1.737765314,0.087818697,-0.27,1.737765314,,1,Share of citizens reporting attending public meeting
Arizona,2025,1.3,ce-ao,2.044496226,0.732304156,-0.14,2.044496226,,1,"Number of advocacy organizations per 100,000 people"
Idaho,2013,1,Civic Engagement,11.88094611,,0.663332455,11.88094611,,1,
