state,year,ncode,lcode,datum,date
Alabama,2006,1.1,ce-vt,0.497,
Alabama,2008,1.1,ce-vt,0.624,
Alabama,2010,1.1,ce-vt,0.441,
Alabama,2012,1.1,ce-vt,0.619,
Alabama,2014,1.1,ce-vt,0.425,
Alabama,2016,1.1,ce-vt,0.57383,
Alabama,2018,1.1,ce-vt,0.507,
Alabama,2020,1.1,ce-vt,0.605,
Alabama,2010,1.2,cv-pm,0.097142857,
Alabama,2011,1.2,cv-pm,0.07029703,
Alabama,2012,1.2,cv-pm,0.092975207,
Alabama,2013,1.2,cv-pm,0.054487179,
Alabama,2014,1.2,cv-pm,0.078038674,
Alabama,2015,1.2,cv-pm,0.076642336,
Alabama,2017,1.2,cv-pm,0.075821398,
Alabama,2019,1.2,cv-pm,0.090493601,
Alabama,2009,1.3,ce-ao,1.78648818,
Alabama,2010,1.3,ce-ao,1.820184211,
Alabama,2011,1.3,ce-ao,1.873930298,
Alabama,2012,1.3,ce-ao,1.638316532,
Alabama,2013,1.3,ce-ao,1.820543258,
Alabama,2014,1.3,ce-ao,1.649696446,
Alabama,2015,1.3,ce-ao,1.83166052,
Alabama,2016,1.3,ce-ao,1.912281784,
Alabama,2017,1.3,ce-ao,1.989846858,
Alabama,2018,1.3,ce-ao,1.984504092,
Alabama,2019,1.3,ce-ao,2.039490658,
Alabama,2020,1.3,ce-ao,2.133482013,
Alabama,2008,2.1,st-fc,38.78592838,
Alabama,2009,2.1,st-fc,29.63468629,
Alabama,2010,2.1,st-fc,28.66267091,
Alabama,2011,2.1,st-fc,33.10610193,
Alabama,2012,2.1,st-fc,47.69782309,
Alabama,2013,2.1,st-fc,49.23741994,
Alabama,2014,2.1,st-fc,42.68589553,
Alabama,2015,2.1,st-fc,39.10286503,
Alabama,2016,2.1,st-fc,22.61838669,
Alabama,2017,2.1,st-fc,22.36013479,
Alabama,2018,2.1,st-fc,28.233151,
Alabama,2019,2.1,st-fc,24.88178602,
Alabama,2020,2.1,st-fc,15.84872353,
Alabama,2008,2.2,st-fc trust,9.113633445,
Alabama,2009,2.2,st-fc trust,8.617178282,
Alabama,2010,2.2,st-fc trust,11.71612825,
Alabama,2011,2.2,st-fc trust,10.41072388,
Alabama,2012,2.2,st-fc trust,9.332182779,
Alabama,2013,2.2,st-fc trust,7.447676966,
Alabama,2014,2.2,st-fc trust,7.011209894,
Alabama,2015,2.2,st-fc trust,6.997354794,
Alabama,2016,2.2,st-fc trust,7.196759402,
Alabama,2017,2.2,st-fc trust,5.743887837,
Alabama,2018,2.2,st-fc trust,6.342229572,
Alabama,2019,2.2,st-fc trust,6.73031917,
Alabama,2020,2.2,st-fc trust,4.47015279,
Alabama,2008,2.3,st-fcc,4.238899277,
Alabama,2009,2.3,st-fcc,4.203501601,
Alabama,2010,2.3,st-fcc,3.13824864,
Alabama,2011,2.3,st-fcc,4.788932984,
Alabama,2012,2.3,st-fcc,4.56240047,
Alabama,2013,2.3,st-fcc,4.758238062,
Alabama,2014,2.3,st-fcc,3.918029058,
Alabama,2015,2.3,st-fcc,4.116091055,
Alabama,2016,2.3,st-fcc,2.056216972,
Alabama,2017,2.3,st-fcc,2.256527364,
Alabama,2018,2.3,st-fcc,2.86423271,
Alabama,2019,2.3,st-fcc,2.855286921,
Alabama,2008,2.4,st-vc,4.474158186,
Alabama,2009,2.4,st-vc,4.454450646,
Alabama,2010,2.4,st-vc,3.841843985,
Alabama,2011,2.4,st-vc,4.198853155,
Alabama,2012,2.4,st-vc,4.498734245,
Alabama,2013,2.4,st-vc,4.310136164,
Alabama,2014,2.4,st-vc,4.274157278,
Alabama,2015,2.4,st-vc,4.724655118,
Alabama,2016,2.4,st-vc,5.32107828,
Alabama,2017,2.4,st-vc,5.224681404,
Alabama,2018,2.4,st-vc,5.230702692,
Alabama,2019,2.4,st-vc,5.108108301,
Alabama,2010,3.1,cl-don,0.567014845,
Alabama,2011,3.1,cl-don,0.553766846,
Alabama,2012,3.1,cl-don,0.564890471,
Alabama,2013,3.1,cl-don,0.554575832,
Alabama,2014,3.1,cl-don,0.511084043,
Alabama,2015,3.1,cl-don,0.448694867,
Alabama,2017,3.1,cl-don,0.498944615,
Alabama,2019,3.1,cl-don,0.509872426,
Alabama,2010,3.2,cl-vol,0.262657637,
Alabama,2011,3.2,cl-vol,0.248488098,
Alabama,2012,3.2,cl-vol,0.238424997,
Alabama,2013,3.2,cl-vol,0.246276304,
Alabama,2014,3.2,cl-vol,0.239216397,
Alabama,2015,3.2,cl-vol,0.215744794,
Alabama,2017,3.2,cl-vol,0.273989393,
Alabama,2019,3.2,cl-vol,0.257642711,
Alabama,2008,3.3,cl-np,8.117492115,
Alabama,2009,3.3,cl-np,8.785318346,
Alabama,2010,3.3,cl-np,9.561197522,
Alabama,2011,3.3,cl-np,9.515401625,
Alabama,2012,3.3,cl-np,10.14097195,
Alabama,2013,3.3,cl-np,8.957900351,
Alabama,2014,3.3,cl-np,10.26936037,
Alabama,2015,3.3,cl-np,10.96938266,
Alabama,2016,3.3,cl-np,9.952090145,
Alabama,2017,3.3,cl-np,10.54413696,
Alabama,2018,3.3,cl-np,10.27032015,
Alabama,2019,3.3,cl-np,10.5441667,
Alabama,2020,3.3,cl-np,10.50897054,
Alabama,2007,3.4,cl-rel,0.52,
Alabama,2014,3.4,cl-rel,0.51,
