state,year,ncode,lcode,datum,date
Utah,2006,1.1,ce-vt,0.367,2006-01-01
Utah,2008,1.1,ce-vt,0.531,2008-01-01
Utah,2010,1.1,ce-vt,0.386,2010-01-01
Utah,2012,1.1,ce-vt,0.57,2012-01-01
Utah,2014,1.1,ce-vt,0.365,2014-01-01
Utah,2016,1.1,ce-vt,0.626826,2016-01-01
Utah,2018,1.1,ce-vt,0.576,2018-01-01
Utah,2020,1.1,ce-vt,0.636,2020-01-01
Utah,2010,1.2,cv-pm,0.134221311,2010-01-01
Utah,2011,1.2,cv-pm,0.137254902,2011-01-01
Utah,2012,1.2,cv-pm,0.192634561,2012-01-01
Utah,2013,1.2,cv-pm,0.158301158,2013-01-01
Utah,2014,1.2,cv-pm,0.153982301,2014-01-01
Utah,2015,1.2,cv-pm,0.110813226,2015-01-01
Utah,2017,1.2,cv-pm,0.159502262,2017-01-01
Utah,2019,1.2,cv-pm,0.17612978,2019-01-01
Utah,2010,3.1,cl-don,0.631510205,2010-01-01
Utah,2011,3.1,cl-don,0.637567875,2011-01-01
Utah,2012,3.1,cl-don,0.70773942,2012-01-01
Utah,2013,3.1,cl-don,0.671443609,2013-01-01
Utah,2014,3.1,cl-don,0.663932628,2014-01-01
Utah,2015,3.1,cl-don,0.641233964,2015-01-01
Utah,2017,3.1,cl-don,0.669418061,2017-01-01
Utah,2019,3.1,cl-don,0.656626234,2019-01-01
Utah,2010,3.2,cl-vol,0.428501796,2010-01-01
Utah,2011,3.2,cl-vol,0.409079446,2011-01-01
Utah,2012,3.2,cl-vol,0.477174298,2012-01-01
Utah,2013,3.2,cl-vol,0.452588143,2013-01-01
Utah,2014,3.2,cl-vol,0.453936344,2014-01-01
Utah,2015,3.2,cl-vol,0.396566356,2015-01-01
Utah,2017,3.2,cl-vol,0.509693476,2017-01-01
Utah,2019,3.2,cl-vol,0.494537038,2019-01-01
Utah,2008,3.3,cl-np,1.990214902,2008-01-01
Utah,2009,3.3,cl-np,2.16639293,2009-01-01
Utah,2010,3.3,cl-np,2.315581148,2010-01-01
Utah,2011,3.3,cl-np,2.271741453,2011-01-01
Utah,2012,3.3,cl-np,2.731774424,2012-01-01
Utah,2013,3.3,cl-np,2.171760767,2013-01-01
Utah,2014,3.3,cl-np,3.024225747,2014-01-01
Utah,2015,3.3,cl-np,3.371252694,2015-01-01
Utah,2016,3.3,cl-np,3.04796414,2016-01-01
Utah,2017,3.3,cl-np,3.352856198,2017-01-01
Utah,2018,3.3,cl-np,3.289988786,2018-01-01
Utah,2019,3.3,cl-np,3.337535925,2019-01-01
Utah,2020,3.3,cl-np,3.301120914,2020-01-01
Utah,2007,3.4,cl-rel,0.57,2007-01-01
Utah,2014,3.4,cl-rel,0.53,2014-01-01
Utah,2008,6.1,fg-play,5.650344604,2008-01-01
Utah,2009,6.1,fg-play,5.593282088,2009-01-01
Utah,2010,6.1,fg-play,5.329159855,2010-01-01
Utah,2011,6.1,fg-play,5.019229192,2011-01-01
Utah,2012,6.1,fg-play,6.455130978,2012-01-01
Utah,2013,6.1,fg-play,4.572229304,2013-01-01
Utah,2014,6.1,fg-play,4.123868373,2014-01-01
Utah,2015,6.1,fg-play,3.8454391,2015-01-01
Utah,2016,6.1,fg-play,3.829227895,2016-01-01
Utah,2017,6.1,fg-play,3.62306776,2017-01-01
Utah,2018,6.1,fg-play,3.665459271,2018-01-01
Utah,2019,6.1,fg-play,4.200931135,2019-01-01
Utah,2008,6.2,fg-sch,48.5194121,2008-01-01
Utah,2009,6.2,fg-sch,48.72626531,2009-01-01
Utah,2010,6.2,fg-sch,44.9495032,2010-01-01
Utah,2011,6.2,fg-sch,44.07497011,2011-01-01
Utah,2012,6.2,fg-sch,42.23587703,2012-01-01
Utah,2013,6.2,fg-sch,42.67651943,2013-01-01
Utah,2014,6.2,fg-sch,38.78697572,2014-01-01
Utah,2015,6.2,fg-sch,37.59319729,2015-01-01
Utah,2016,6.2,fg-sch,38.38327421,2016-01-01
Utah,2017,6.2,fg-sch,38.40940391,2017-01-01
Utah,2018,6.2,fg-sch,38.16949373,2018-01-01
Utah,2019,6.2,fg-sch,38.26347195,2019-01-01
