State,State Code,Metric,Year,Value
Alabama,AL,Civic Engagement,2013,4.5
Alabama,AL,Community Life,2013,6.5
Alabama,AL,Family Health,2013,4.9
Alabama,AL,Future Generations,2013,6.6
Alabama,AL,Social Cohesion,2013,11.3
Alabama,AL,Social Mobility,2013,2.4
Alabama,AL,Social Trust,2013,1.0
Alabama,AL,Total,2013,37.2
Alabama,AL,ce-ao,2013,1.9
Alabama,AL,ce-vt,2013,2.1
Alabama,AL,cl-cdd,2013,1.1
Alabama,AL,cl-don,2013,1.5
Alabama,AL,cl-mem,2013,-0.3
Alabama,AL,cl-np,2013,0.9
Alabama,AL,cl-npo,2013,0.6
Alabama,AL,cl-porg,2013,0.7
Alabama,AL,cl-rel,2013,2.9
Alabama,AL,cl-ta,2013,1.1
Alabama,AL,cl-tfn,2013,-0.5
Alabama,AL,cl-vol,2013,0.5
Alabama,AL,cv-pm,2013,0.4
Alabama,AL,fg-act,2013,-0.8
Alabama,AL,fg-br,2013,1.3
Alabama,AL,fg-play,2013,0.8
Alabama,AL,fg-read,2013,0.4
Alabama,AL,fg-sch,2013,1.7
Alabama,AL,fg-yorg,2013,0.6
Alabama,AL,fh-eat,2013,2.4
Alabama,AL,fh-ed,2013,-2.2
Alabama,AL,fh-ma,2013,1.1
Alabama,AL,fh-read,2013,1.2
Alabama,AL,fh-spf,2013,0.6
Alabama,AL,fh-time,2013,1.3
Alabama,AL,fh-tv,2013,1.2
Alabama,AL,fh-uw,2013,0.6
Alabama,AL,sc-born,2013,3.8
Alabama,AL,sc-eng-a,2013,3.2
Alabama,AL,sc-eng-c,2013,3.2
Alabama,AL,sc-mid,2013,1.1
Alabama,AL,sm-em,2013,2.1
Alabama,AL,sm-grad,2013,-0.8
Alabama,AL,sm-hr,2013,3.0
Alabama,AL,sm-neet,2013,-2.0
Alabama,AL,st-fc,2013,-0.9
Alabama,AL,st-fc trust,2013,-0.9
Alabama,AL,st-fcc,2013,1.2
Alabama,AL,st-vc,2013,1.5
Alaska,AK,Civic Engagement,2013,11.9
Alaska,AK,Community Life,2013,10.0
Alaska,AK,Family Health,2013,13.2
Alaska,AK,Future Generations,2013,20.4
Alaska,AK,Social Cohesion,2013,5.0
Alaska,AK,Social Mobility,2013,-2.7
Alaska,AK,Social Trust,2013,1.2
Alaska,AK,Total,2013,59.1
Alaska,AK,ce-ao,2013,2.5
Alaska,AK,ce-vt,2013,0.5
Alaska,AK,cl-cdd,2013,0.0
Alaska,AK,cl-don,2013,2.5
Alaska,AK,cl-mem,2013,3.0
Alaska,AK,cl-np,2013,0.3
Alaska,AK,cl-npo,2013,0.9
Alaska,AK,cl-porg,2013,0.8
Alaska,AK,cl-rel,2013,-0.7
Alaska,AK,cl-ta,2013,0.6
Alaska,AK,cl-tfn,2013,1.1
Alaska,AK,cl-vol,2013,1.8
Alaska,AK,cv-pm,2013,8.9
Alaska,AK,fg-act,2013,-0.4
Alaska,AK,fg-br,2013,4.2
Alaska,AK,fg-play,2013,1.9
Alaska,AK,fg-read,2013,0.6
Alaska,AK,fg-sch,2013,4.6
Alaska,AK,fg-yorg,2013,2.9
Alaska,AK,fh-eat,2013,3.8
Alaska,AK,fh-ed,2013,1.0
Alaska,AK,fh-ma,2013,1.2
Alaska,AK,fh-read,2013,3.2
Alaska,AK,fh-spf,2013,1.3
Alaska,AK,fh-time,2013,0.9
Alaska,AK,fh-tv,2013,1.2
Alaska,AK,fh-uw,2013,1.7
Alaska,AK,sc-born,2013,-0.9
Alaska,AK,sc-eng-a,2013,1.9
Alaska,AK,sc-eng-c,2013,1.5
Alaska,AK,sc-mid,2013,2.6
Alaska,AK,sm-em,2013,-3.2
Alaska,AK,sm-grad,2013,0.4
Alaska,AK,sm-hr,2013,1.2
Alaska,AK,sm-neet,2013,-1.1
Alaska,AK,st-fc,2013,3.1
Alaska,AK,st-fc trust,2013,0.4
Alaska,AK,st-fcc,2013,-1.9
Alaska,AK,st-vc,2013,-0.3
Arizona,AZ,Civic Engagement,2013,2.5
Arizona,AZ,Community Life,2013,4.3
Arizona,AZ,Family Health,2013,7.8
Arizona,AZ,Future Generations,2013,6.6
Arizona,AZ,Social Cohesion,2013,-0.7
Arizona,AZ,Social Mobility,2013,-1.2
Arizona,AZ,Social Trust,2013,-7.4
Arizona,AZ,Total,2013,11.9
Arizona,AZ,ce-ao,2013,2.0
Arizona,AZ,ce-vt,2013,-0.6
Arizona,AZ,cl-cdd,2013,1.3
Arizona,AZ,cl-don,2013,0.4
Arizona,AZ,cl-mem,2013,-0.1
Arizona,AZ,cl-np,2013,0.9
Arizona,AZ,cl-npo,2013,0.6
Arizona,AZ,cl-porg,2013,0.8
Arizona,AZ,cl-rel,2013,0.1
Arizona,AZ,cl-ta,2013,1.7
Arizona,AZ,cl-tfn,2013,0.5
Arizona,AZ,cl-vol,2013,0.3
Arizona,AZ,cv-pm,2013,1.1
Arizona,AZ,fg-act,2013,0.8
Arizona,AZ,fg-br,2013,2.0
Arizona,AZ,fg-play,2013,1.5
Arizona,AZ,fg-read,2013,1.4
Arizona,AZ,fg-sch,2013,0.4
Arizona,AZ,fg-yorg,2013,0.6
Arizona,AZ,fh-eat,2013,3.1
Arizona,AZ,fh-ed,2013,-0.1
Arizona,AZ,fh-ma,2013,0.8
Arizona,AZ,fh-read,2013,1.7
Arizona,AZ,fh-spf,2013,1.1
Arizona,AZ,fh-time,2013,1.1
Arizona,AZ,fh-tv,2013,1.0
Arizona,AZ,fh-uw,2013,0.1
Arizona,AZ,sc-born,2013,-1.2
Arizona,AZ,sc-eng-a,2013,-0.1
Arizona,AZ,sc-eng-c,2013,-1.2
Arizona,AZ,sc-mid,2013,1.8
Arizona,AZ,sm-em,2013,-0.1
Arizona,AZ,sm-grad,2013,0.5
Arizona,AZ,sm-hr,2013,0.7
Arizona,AZ,sm-neet,2013,-2.3
Arizona,AZ,st-fc,2013,-14.1
Arizona,AZ,st-fc trust,2013,3.2
Arizona,AZ,st-fcc,2013,1.9
Arizona,AZ,st-vc,2013,1.6
Arkansas,AR,Civic Engagement,2013,-0.1
Arkansas,AR,Community Life,2013,5.4
Arkansas,AR,Family Health,2013,6.6
Arkansas,AR,Future Generations,2013,9.8
Arkansas,AR,Social Cohesion,2013,9.5
