State,State Code,Metric,2013,2017,2021,2025
Alabama,AL,Civic Engagement,4.47101176,2.878913976,5.335981008,2.489102698
Alabama,AL,Community Life,6.484992501,7.537981016,-0.09550704,-3.43374731
Alabama,AL,Family Health,4.914823131,4.607563037,3.457699951,5.166592858
Alabama,AL,Future Generations,6.603434641,4.933202103,3.581020615,3.55168716
Alabama,AL,Social Cohesion,11.32232796,11.34109066,11.64046908,10.79440383
Alabama,AL,Social Mobility,2.360867102,3.739177301,6.613267263,8.807001032
Alabama,AL,Social Trust,1.024006855,2.68543249,6.335821821,7.033213733
Alabama,AL,Total,37.18146395,37.72336058,36.8687527,34.408254
Alabama,AL,ce-ao,1.909101982,1.912499398,1.894370132,1.927903799
Alabama,AL,ce-vt,2.144965139,0.071147223,1.502205546,0.781396574
Alabama,AL,cl-cdd,1.064473535,0.736958319,-1.724996175,-1.872252918
Alabama,AL,cl-don,1.514091042,0.620509338,-0.951428355,-0.732826127
Alabama,AL,cl-mem,-0.326799114,0.163820487,0.212015959,0.194043821
Alabama,AL,cl-np,0.935999044,0.935181945,0.664601674,0.658841571
Alabama,AL,cl-npo,0.599175573,0.626797977,0.589475939,0.555004595
Alabama,AL,cl-porg,0.732065919,0.72562924,0.717394902,0.691145343
Alabama,AL,cl-rel,2.862768697,2.742680302,0.70117759,0.70117759
Alabama,AL,cl-ta,1.055914527,0.800482726,-0.192855354,-0.597752188
Alabama,AL,cl-tfn,-0.460344088,0.862569075,-0.401062071,-3.429433364
Alabama,AL,cl-vol,0.508119944,0.99549187,-0.770225648,-0.81510698
Alabama,AL,cv-pm,0.416944639,0.895267355,1.939405331,-0.220197674
Alabama,AL,fg-act,-0.831915094,0.02344968,1.595893884,0.10127275
Alabama,AL,fg-br,1.298411307,1.231678635,0.956406365,0.439228161
Alabama,AL,fg-play,0.761541341,0.589787841,0.5658126,0.562720024
Alabama,AL,fg-read,0.404152258,-0.318008959,1.350555418,0.898190962
Alabama,AL,fg-sch,1.743318992,0.951734446,0.530617767,0.99641378
Alabama,AL,fg-yorg,0.599018122,0.51560048,0.334510344,0.369429475
Alabama,AL,fh-eat,2.427453233,0.893394805,1.749147692,3.316169295
Alabama,AL,fh-ed,-2.183421237,0.248361675,0.379877974,-0.439173167
Alabama,AL,fh-ma,1.068783397,0.773126806,0.960751102,0.659342602
Alabama,AL,fh-read,1.171337791,0.966828308,0.023909343,-0.175935583
Alabama,AL,fh-spf,0.586244319,0.411368675,0.641261896,0.598509367
Alabama,AL,fh-time,1.268198307,1.48072797,0.360726567,2.065263349
Alabama,AL,fh-tv,1.19047619,1.19047619,0,0
Alabama,AL,fh-uw,0.57622732,-0.166245202,-0.081691298,0.003515806
Alabama,AL,sc-born,3.78954194,3.761208173,3.634554503,3.167090799
Alabama,AL,sc-eng-a,3.24864164,3.35891682,3.380975801,3.294603447
Alabama,AL,sc-eng-c,3.207355258,3.20279597,3.39506345,2.92727942
Alabama,AL,sc-mid,1.076789122,1.018169699,1.229875326,1.405430165
Alabama,AL,sm-em,2.1289499,2.1289499,2.1289499,2.1289499
Alabama,AL,sm-grad,-0.775271362,-0.218534441,0.422636359,1.165325043
Alabama,AL,sm-hr,2.99571286,2.441191192,3.002407763,3.622331631
Alabama,AL,sm-neet,-1.988524296,-0.61242935,1.05927324,1.890394458
Alabama,AL,st-fc,-0.872096452,-0.53833875,1.836789077,0.985143834
Alabama,AL,st-fc trust,-0.875811709,1.078277581,1.794650438,2.624854125
Alabama,AL,st-fcc,1.235341596,1.12206934,2.000049353,1.730998447
Alabama,AL,st-vc,1.536573419,1.023424319,0.704332953,1.692217327
Alaska,AK,Civic Engagement,11.87765753,10.96335437,13.80818768,13.03781512
Alaska,AK,Community Life,10.04121282,10.57578964,4.752051019,0.660068614
Alaska,AK,Family Health,13.20084508,9.779619625,11.52301551,11.15275613
Alaska,AK,Future Generations,20.43237998,19.86084983,12.06272279,9.08981236
Alaska,AK,Social Cohesion,5.049479089,5.927072264,6.932914087,6.936639491
