State,State Code,Metric,2013,2017,2021,2025
Alabama,AL,Civic Engagement,4.5,2.9,5.3,2.5
Alabama,AL,Community Life,6.5,7.5,-0.1,-3.4
Alabama,AL,Family Health,4.9,4.6,3.5,5.2
Alabama,AL,Future Generations,6.6,4.9,3.6,3.6
Alabama,AL,Social Cohesion,11.3,11.3,11.6,10.8
Alabama,AL,Social Mobility,2.4,3.7,6.6,8.8
Alabama,AL,Social Trust,1,2.7,6.3,7
Alabama,AL,Total,37.2,37.7,36.9,34.4
Alabama,AL,ce-ao,1.9,1.9,1.9,1.9
Alabama,AL,ce-vt,2.1,0.1,1.5,0.8
Alabama,AL,cl-cdd,1.1,0.7,-1.7,-1.9
Alabama,AL,cl-don,1.5,0.6,-1,-0.7
Alabama,AL,cl-mem,-0.3,0.2,0.2,0.2
Alabama,AL,cl-np,0.9,0.9,0.7,0.7
Alabama,AL,cl-npo,0.6,0.6,0.6,0.6
Alabama,AL,cl-porg,0.7,0.7,0.7,0.7
Alabama,AL,cl-rel,2.9,2.7,0.7,0.7
Alabama,AL,cl-ta,1.1,0.8,-0.2,-0.6
Alabama,AL,cl-tfn,-0.5,0.9,-0.4,-3.4
Alabama,AL,cl-vol,0.5,1,-0.8,-0.8
Alabama,AL,cv-pm,0.4,0.9,1.9,-0.2
Alabama,AL,fg-act,-0.8,0,1.6,0.1
Alabama,AL,fg-br,1.3,1.2,1,0.4
Alabama,AL,fg-play,0.8,0.6,0.6,0.6
Alabama,AL,fg-read,0.4,-0.3,1.4,0.9
Alabama,AL,fg-sch,1.7,1,0.5,1
Alabama,AL,fg-yorg,0.6,0.5,0.3,0.4
Alabama,AL,fh-eat,2.4,0.9,1.7,3.3
Alabama,AL,fh-ed,-2.2,0.2,0.4,-0.4
Alabama,AL,fh-ma,1.1,0.8,1,0.7
Alabama,AL,fh-read,1.2,1,0,-0.2
Alabama,AL,fh-spf,0.6,0.4,0.6,0.6
Alabama,AL,fh-time,1.3,1.5,0.4,2.1
Alabama,AL,fh-tv,1.2,1.2,0,0
Alabama,AL,fh-uw,0.6,-0.2,-0.1,0
Alabama,AL,sc-born,3.8,3.8,3.6,3.2
Alabama,AL,sc-eng-a,3.2,3.4,3.4,3.3
Alabama,AL,sc-eng-c,3.2,3.2,3.4,2.9
Alabama,AL,sc-mid,1.1,1,1.2,1.4
Alabama,AL,sm-em,2.1,2.1,2.1,2.1
Alabama,AL,sm-grad,-0.8,-0.2,0.4,1.2
Alabama,AL,sm-hr,3,2.4,3,3.6
Alabama,AL,sm-neet,-2,-0.6,1.1,1.9
Alabama,AL,st-fc,-0.9,-0.5,1.8,1
Alabama,AL,st-fc trust,-0.9,1.1,1.8,2.6
Alabama,AL,st-fcc,1.2,1.1,2,1.7
Alabama,AL,st-vc,1.5,1,0.7,1.7
Alaska,AK,Civic Engagement,11.9,11,13.8,13
Alaska,AK,Community Life,10,10.6,4.8,0.7
Alaska,AK,Family Health,13.2,9.8,11.5,11.2
Alaska,AK,Future Generations,20.4,19.9,12.1,9.1
Alaska,AK,Social Cohesion,5,5.9,6.9,6.9
Alaska,AK,Social Mobility,-2.7,0.1,-2.8,1.8
Alaska,AK,Social Trust,1.2,2.1,4.8,6.2
Alaska,AK,Total,59.1,59.2,51,48.9
Alaska,AK,ce-ao,2.5,2.7,2.6,2.5
Alaska,AK,ce-vt,0.5,1.9,3,5.7
Alaska,AK,cl-cdd,0,-0.3,-2,-2.2
Alaska,AK,cl-don,2.5,1.4,0.3,0.4
Alaska,AK,cl-mem,3,1.3,1.1,1.8
Alaska,AK,cl-np,0.3,0.3,0.3,0.3
Alaska,AK,cl-npo,0.9,1,0.9,0.7
Alaska,AK,cl-porg,0.8,0.8,0.8,0.7
Alaska,AK,cl-rel,-0.7,0.2,-1.1,-1.1
Alaska,AK,cl-ta,0.6,2.8,2.4,0
Alaska,AK,cl-tfn,1.1,-0.3,0,-3.6
Alaska,AK,cl-vol,1.8,3.3,0.4,1.7
Alaska,AK,cv-pm,8.9,6.4,8.2,4.8
Alaska,AK,fg-act,-0.4,-0.2,4.9,5.5
Alaska,AK,fg-br,4.2,3.7,2.2,1.2
Alaska,AK,fg-play,1.9,1.7,1.2,0.7
Alaska,AK,fg-read,0.6,0.8,8.2,-0.8
Alaska,AK,fg-sch,4.6,4.8,2.7,3.1
Alaska,AK,fg-yorg,2.9,3,2,1
Alaska,AK,fh-eat,3.8,2.4,4.1,3.8
Alaska,AK,fh-ed,1,1.4,0.2,1.2
Alaska,AK,fh-ma,1.2,1,1.5,0.4
Alaska,AK,fh-read,3.2,1.5,2.6,2.1
Alaska,AK,fh-spf,1.3,1.3,1.5,1.2
Alaska,AK,fh-time,0.9,0.5,1.8,2.8
Alaska,AK,fh-tv,1.2,1.2,0,0
Alaska,AK,fh-uw,1.7,1.6,1.7,1.6
Alaska,AK,sc-born,-0.9,-0.6,-0.5,-0.5
Alaska,AK,sc-eng-a,1.9,2,2.2,2.4
Alaska,AK,sc-eng-c,1.5,2,2.4,2.6
Alaska,AK,sc-mid,2.6,2.6,2.8,2.5
Alaska,AK,sm-em,-3.2,-3.2,-3.2,-3.2
Alaska,AK,sm-grad,0.4,1.4,1.5,2.1
Alaska,AK,sm-hr,1.2,1.6,1.9,2.9
Alaska,AK,sm-neet,-1.1,0.3,-3,0
Alaska,AK,st-fc,3.1,0.8,1.6,4
Alaska,AK,st-fc trust,0.4,1,2.8,2.3
Alaska,AK,st-fcc,-1.9,1.7,3.2,1.5
Alaska,AK,st-vc,-0.3,-1.5,-2.8,-1.5
Arizona,AZ,Civic Engagement,2.5,2.8,11,6.7
Arizona,AZ,Community Life,4.3,5.9,2.7,0.2
Arizona,AZ,Family Health,7.8,5.3,4.8,6.5
Arizona,AZ,Future Generations,6.6,3.2,1.3,-0.4
Arizona,AZ,Social Cohesion,-0.7,1.4,2.7,2.6
Arizona,AZ,Social Mobility,-1.2,0.7,4.4,6.8
Arizona,AZ,Social Trust,-7.4,6.3,7,12
Arizona,AZ,Total,11.9,25.5,34,34.3
Arizona,AZ,ce-ao,2,2.1,2.2,2
Arizona,AZ,ce-vt,-0.6,1.5,6.7,2.9
Arizona,AZ,cl-cdd,1.3,1,-1.5,-1.7
Arizona,AZ,cl-don,0.4,1,0.4,0.5
Arizona,AZ,cl-mem,-0.1,-0.3,0.2,0.5
Arizona,AZ,cl-np,0.9,5.6,0.5,0.4
Arizona,AZ,cl-npo,0.6,0.6,0.6,0.5
Arizona,AZ,cl-porg,0.8,0.8,0.8,0.7
Arizona,AZ,cl-rel,0.1,0.7,-0.3,-0.3
