state,year,ncode,lcode,datum,date
Utah,2008,2.1,st-fc,29.28995516,2008-01-01
Utah,2009,2.1,st-fc,35.61696851,2009-01-01
Utah,2010,2.1,st-fc,24.24124014,2010-01-01
Utah,2011,2.1,st-fc,26.97692976,2011-01-01
Utah,2012,2.1,st-fc,15.41000957,2012-01-01
Utah,2013,2.1,st-fc,21.02815981,2013-01-01
Utah,2014,2.1,st-fc,19.02883616,2014-01-01
Utah,2015,2.1,st-fc,20.36103112,2015-01-01
Utah,2016,2.1,st-fc,16.38690398,2016-01-01
Utah,2017,2.1,st-fc,17.40906103,2017-01-01
Utah,2018,2.1,st-fc,19.29704961,2018-01-01
Utah,2019,2.1,st-fc,15.59596227,2019-01-01
Utah,2020,2.1,st-fc,11.07733549,2020-01-01
Utah,2008,2.2,st-fc trust,3.755122456,2008-01-01
Utah,2009,2.2,st-fc trust,3.304667181,2009-01-01
Utah,2010,2.2,st-fc trust,1.809047772,2010-01-01
Utah,2011,2.2,st-fc trust,2.129757612,2011-01-01
Utah,2012,2.2,st-fc trust,4.202729883,2012-01-01
Utah,2013,2.2,st-fc trust,1.034171794,2013-01-01
Utah,2014,2.2,st-fc trust,0.679601292,2014-01-01
Utah,2015,2.2,st-fc trust,0.333787395,2015-01-01
Utah,2016,2.2,st-fc trust,0.32773808,2016-01-01
Utah,2017,2.2,st-fc trust,0.644780038,2017-01-01
Utah,2018,2.2,st-fc trust,0.632690151,2018-01-01
Utah,2019,2.2,st-fc trust,0,2019-01-01
Utah,2020,2.2,st-fc trust,0.923111291,2020-01-01
Utah,2008,2.3,st-fcc,1.877561228,2008-01-01
Utah,2009,2.3,st-fcc,1.101555727,2009-01-01
Utah,2010,2.3,st-fcc,0.361809554,2010-01-01
Utah,2011,2.3,st-fcc,0.709919204,2011-01-01
Utah,2012,2.3,st-fcc,0.35022749,2012-01-01
Utah,2013,2.3,st-fcc,1.034171794,2013-01-01
Utah,2014,2.3,st-fcc,0.679601292,2014-01-01
Utah,2015,2.3,st-fcc,0,2015-01-01
Utah,2016,2.3,st-fcc,0.655476159,2016-01-01
Utah,2017,2.3,st-fcc,0.322390019,2017-01-01
Utah,2018,2.3,st-fcc,0,2018-01-01
Utah,2019,2.3,st-fcc,0,2019-01-01
Utah,2008,2.4,st-vc,2.315032994,2008-01-01
Utah,2009,2.4,st-vc,2.202377084,2009-01-01
Utah,2010,2.4,st-vc,2.143721609,2010-01-01
Utah,2011,2.4,st-vc,1.968960913,2011-01-01
Utah,2012,2.4,st-vc,2.080001065,2012-01-01
Utah,2013,2.4,st-vc,2.290345799,2013-01-01
Utah,2014,2.4,st-vc,2.196471374,2014-01-01
Utah,2015,2.4,st-vc,2.382574429,2015-01-01
Utah,2016,2.4,st-vc,2.427228217,2016-01-01
Utah,2017,2.4,st-vc,2.422760993,2017-01-01
Utah,2018,2.4,st-vc,2.388721665,2018-01-01
Utah,2019,2.4,st-vc,2.35592606,2019-01-01
