time,state,year,category,series_type,metric,metric_name,value,latest_year_flag
2013-01-01,Utah,2013,civic,component,ce-ao,"Number of advocacy organizations per 100,000 people",1.913497591,0
2017-01-01,Utah,2017,civic,component,ce-ao,"Number of advocacy organizations per 100,000 people",1.946265053,0
2021-01-01,Utah,2021,civic,component,ce-ao,"Number of advocacy organizations per 100,000 people",1.913153291,0
2025-01-01,Utah,2025,civic,component,ce-ao,"Number of advocacy organizations per 100,000 people",1.915313577,1
2013-01-01,Utah,2013,civic,component,ce-vt,Voter turnout,-0.104693437,0
2017-01-01,Utah,2017,civic,component,ce-vt,Voter turnout,2.504267751,0
2021-01-01,Utah,2021,civic,component,ce-vt,Voter turnout,2.92545893,0
2025-01-01,Utah,2025,civic,component,ce-vt,Voter turnout,3.177971628,1
2013-01-01,Utah,2013,civic,component,cv-pm,Share of citizens reporting attending public meeting,5.464371981,0
2017-01-01,Utah,2017,civic,component,cv-pm,Share of citizens reporting attending public meeting,3.471142011,0
2021-01-01,Utah,2021,civic,component,cv-pm,Share of citizens reporting attending public meeting,8.394843259,0
2025-01-01,Utah,2025,civic,component,cv-pm,Share of citizens reporting attending public meeting,4.229930646,1
2013-01-01,Utah,2013,cohesion,component,sc-born,Share of population born in the state of current residence,2.459105767,0
2017-01-01,Utah,2017,cohesion,component,sc-born,Share of population born in the state of current residence,2.551890245,0
2021-01-01,Utah,2021,cohesion,component,sc-born,Share of population born in the state of current residence,2.461683314,0
2025-01-01,Utah,2025,cohesion,component,sc-born,Share of population born in the state of current residence,2.311374503,1
2013-01-01,Utah,2013,cohesion,component,sc-eng-a,Share of adults with limited English proficiency,1.749232213,0
2017-01-01,Utah,2017,cohesion,component,sc-eng-a,Share of adults with limited English proficiency,1.914683628,0
2021-01-01,Utah,2021,cohesion,component,sc-eng-a,Share of adults with limited English proficiency,2.066760549,0
2025-01-01,Utah,2025,cohesion,component,sc-eng-a,Share of adults with limited English proficiency,2.008312545,1
2013-01-01,Utah,2013,cohesion,component,sc-eng-c,Share of students with limited English proficiency,2.058080405,0
2017-01-01,Utah,2017,cohesion,component,sc-eng-c,Share of students with limited English proficiency,2.648443898,0
2021-01-01,Utah,2021,cohesion,component,sc-eng-c,Share of students with limited English proficiency,2.831752662,0
2025-01-01,Utah,2025,cohesion,component,sc-eng-c,Share of students with limited English proficiency,2.367504436,1
2013-01-01,Utah,2013,cohesion,component,sc-mid,Share of population in middle class households,3.30907358,0
2017-01-01,Utah,2017,cohesion,component,sc-mid,Share of population in middle class households,3.200515131,0
2021-01-01,Utah,2021,cohesion,component,sc-mid,Share of population in middle class households,3.672473982,0
2025-01-01,Utah,2025,cohesion,component,sc-mid,Share of population in middle class households,3.253985243,1
2013-01-01,Utah,2013,community,component,cl-don,Share of residents reporting a donation of at least $25 to a charitable group,3.391290784,0
2017-01-01,Utah,2017,community,component,cl-don,Share of residents reporting a donation of at least $25 to a charitable group,3.358755232,0
2021-01-01,Utah,2021,community,component,cl-don,Share of residents reporting a donation of at least $25 to a charitable group,1.120196096,0
2025-01-01,Utah,2025,community,component,cl-don,Share of residents reporting a donation of at least $25 to a charitable group,2.90370231,1
2013-01-01,Utah,2013,community,component,cl-mem,Worked on a neighborhood project,4.157236069,0
2017-01-01,Utah,2017,community,component,cl-mem,Worked on a neighborhood project,4.086580534,0
2021-01-01,Utah,2021,community,component,cl-mem,Worked on a neighborhood project,3.942322239,0
2025-01-01,Utah,2025,community,component,cl-mem,Worked on a neighborhood project,4.615115698,1
2013-01-01,Utah,2013,community,component,cl-np,Participation in neighborhood projects,-0.13066702,0
2017-01-01,Utah,2017,community,component,cl-np,Participation in neighborhood projects,-0.029650556,0
2021-01-01,Utah,2021,community,component,cl-np,Participation in neighborhood projects,-0.082689668,0
2025-01-01,Utah,2025,community,component,cl-np,Participation in neighborhood projects,-0.182810137,1
2013-01-01,Utah,2013,community,component,cl-npo,"Non-professional associations per 100,000 people",0.554462183,0
2017-01-01,Utah,2017,community,component,cl-npo,"Non-professional associations per 100,000 people",0.604862478,0
2021-01-01,Utah,2021,community,component,cl-npo,"Non-professional associations per 100,000 people",0.576365526,0
2025-01-01,Utah,2025,community,component,cl-npo,"Non-professional associations per 100,000 people",0.482387657,1
2013-01-01,Utah,2013,community,component,cl-porg,"Professional organizations per 100,000",0.743688542,0
2017-01-01,Utah,2017,community,component,cl-porg,"Professional organizations per 100,000",0.7312704,0
2021-01-01,Utah,2021,community,component,cl-porg,"Professional organizations per 100,000",0.72105624,0
2025-01-01,Utah,2025,community,component,cl-porg,"Professional organizations per 100,000",0.882904929,1
2013-01-01,Utah,2013,community,component,cl-rel,Weekly church or religious service attendance,3.463210671,0
2017-01-01,Utah,2017,community,component,cl-rel,Weekly church or religious service attendance,2.982857092,0
