State,State Code,Metric,Year,Value
Utah,UT,Civic Engagement,2013,7.273176135
Utah,UT,Civic Engagement,2017,7.921674814
Utah,UT,Civic Engagement,2021,13.23345548
Utah,UT,Civic Engagement,2025,9.323215851
Utah,UT,Community Life,2013,20.61158588
Utah,UT,Community Life,2017,18.82716813
Utah,UT,Community Life,2021,12.21815626
Utah,UT,Community Life,2025,12.51648042
Utah,UT,Family Health,2013,19.6007722
Utah,UT,Family Health,2017,18.09649252
Utah,UT,Family Health,2021,17.13122446
Utah,UT,Family Health,2025,13.49147039
Utah,UT,Future Generations,2013,17.92082557
Utah,UT,Future Generations,2017,12.9720855
Utah,UT,Future Generations,2021,10.20848328
Utah,UT,Future Generations,2025,7.192655974
Utah,UT,Social Cohesion,2013,9.575491966
Utah,UT,Social Cohesion,2017,10.3155329
Utah,UT,Social Cohesion,2021,11.03267051
Utah,UT,Social Cohesion,2025,9.941176727
Utah,UT,Social Mobility,2013,9.042676899
Utah,UT,Social Mobility,2017,10.8003772
Utah,UT,Social Mobility,2021,13.77707984
Utah,UT,Social Mobility,2025,14.19499564
Utah,UT,Social Trust,2013,12.32578589
Utah,UT,Social Trust,2017,14.01060746
Utah,UT,Social Trust,2021,14.89588176
Utah,UT,Social Trust,2025,15.72997405
Utah,UT,Total,2013,96.35031454
Utah,UT,Total,2017,92.94393853
Utah,UT,Total,2021,92.49695159
Utah,UT,Total,2025,82.38996905
Utah,UT,ce-ao,2013,1.913497591
Utah,UT,ce-ao,2017,1.946265053
Utah,UT,ce-ao,2021,1.913153291
Utah,UT,ce-ao,2025,1.915313577
Utah,UT,ce-vt,2013,-0.104693437
Utah,UT,ce-vt,2017,2.504267751
Utah,UT,ce-vt,2021,2.92545893
Utah,UT,ce-vt,2025,3.177971628
Utah,UT,cl-cdd,2013,2.390414191
Utah,UT,cl-cdd,2017,2.026930337
Utah,UT,cl-cdd,2021,-0.763243197
Utah,UT,cl-cdd,2025,-0.983008519
Utah,UT,cl-don,2013,3.391290784
Utah,UT,cl-don,2017,3.358755232
Utah,UT,cl-don,2021,1.120196096
Utah,UT,cl-don,2025,2.90370231
Utah,UT,cl-mem,2013,4.157236069
Utah,UT,cl-mem,2017,4.086580534
Utah,UT,cl-mem,2021,3.942322239
Utah,UT,cl-mem,2025,4.615115698
Utah,UT,cl-np,2013,-0.13066702
Utah,UT,cl-np,2017,-0.029650556
Utah,UT,cl-np,2021,-0.082689668
Utah,UT,cl-np,2025,-0.182810137
Utah,UT,cl-npo,2013,0.554462183
Utah,UT,cl-npo,2017,0.604862478
Utah,UT,cl-npo,2021,0.576365526
Utah,UT,cl-npo,2025,0.482387657
Utah,UT,cl-porg,2013,0.743688542
